Year,Candidates (winner of popular vote first),winners,losers
1960,Kennedy/Nixon,163,122
1976,Carter/Ford,68,32
1980,Reagan/Carter,19,18
1988,Bush/Dukakis,111,85
1992,Clinton/Bush,79,75
1996,Clinton/Dole,56,33
2000,Gore/Bush,68,48
2004,Bush/Kerry,176,149
